japanese,english
の,of
に,To
は,It is
て,hand
を,The
が,But
た,It was
する,Make
と,When
ます,You
で,so
ない,Absent
いる,Are
も,Also
ある,is there
です,is
こと,thing
なる,Become
れる,It is
から,From
ん,Hmm
よう,Yo
いう,Say
う,Cormorant
人,Man
この,this
という,That
思う,think
その,That
もの,thing
や,Ya
ば,Place
者,Person
できる,it can
これ,this
言う,To tell
くる,come
月,Month
として,As
さん,Mr.
まで,Until
たい,Want
られる,It is
お,Contact
へ,What
見る,to see
ため,For
てる,Teru
そう,so
日本,Japan
おる,Oru
一,one
ので,Since the
いく,Come
だけ,Only
何,what
自分,myself
しまう,Put away
について,about
ぬ,Unexpected
問題,problem
考える,Think
せる,Cell
また,Also
でも,But
やる,do
わけ,reason
ござる,A bamboo basket
たち,Us
ところ,Place
いい,Good
って,I
前,Before
第,The
たり,Or
性,sex
行く,go
より,Than
そして,And
けど,but
どう,How
出る,Leave
時間,time
会,Meeting
書く,write
円,Circle
二,two
し,Tooth
場合,Case
持つ,To have
必要,necessary
情報,information
とき,When
コメント,comment
化,Of
上,Up
事,Thing
使う,use
行う,Do
な,I
ご,Your
話,Story
くれる,Give me
ながら,Though
よい,The good
H,H
本,Book
じゃ,Well
ここ,here
分,Minute
十,Ten
目,Eye
多い,Many
知る,know
今日,today
良い,good
関係,Relation
委員,Committee member
後,rear
かも,maybe
家,House
そういう,Like that
聞く,listen
世界,world
気,Care
点,point
入れる,Put in
見える,appear
どの,Which
にとって,for
活動,Activity
東京,Tokyo
好き,Like
どこ,Where
かなり,Rather
こんな,Such
状況,Status
五,Five
新しい,new
に対する,In
無い,No
強い,strong
管理,management
特に,in particular
環境,environment
ページ,page
地域,area
始める,start
本当に,Really
悪い,bad
実際,Practical
